#hilos_archivos #hilos_max #cant_archivos maximum maximum2
80 20 200 0.830501 1.44214 
80 20 400 1.64547 2.91513 
80 20 600 2.41572 4.54281 
80 20 800 3.21054 6.17048 
80 20 1000 4.01733 7.25675 
80 20 1200 4.8885 9.24941 
80 20 1400 5.55202 10.2811 
80 20 1600 6.55309 12.2458 
80 20 1800 7.21882 13.5221 
80 20 2000 8.04051 15.1936 
80 20 2200 9.19733 17.0807 
80 20 2400 9.64443 18.4266 
80 20 2600 10.6152 19.4302 
80 20 2800 11.5204 20.9979 
80 20 3000 12.2442 22.6016 
80 20 3200 13.1247 23.8109 
80 20 3400 13.6063 25.8199 
80 20 3600 14.7078 26.9938 
80 20 3800 15.2881 28.5695 
80 20 4000 16.4931 30.1371 
80 20 4200 17.0029 31.5766 
80 20 4400 17.943 33.7567 
80 20 4600 18.3224 34.8216 
80 20 4800 19.3786 37.4786 
80 20 5000 20.586 38.8262 
